store_id, store_name, phone, email, street, city, state, zip_code
1, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
2, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
3, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
4, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
5, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
6, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
7, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
8, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
9, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
10, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
11, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
12, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
13, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
14, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
15, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
16, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
17, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
18, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
19, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
20, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
21, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
22, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
23, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
24, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
25, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
26, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
27, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
28, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
29, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
30, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
31, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
32, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
33, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
34, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
35, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
36, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
37, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
38, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
39, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
40, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
41, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
42, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
43, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
44, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
45, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
46, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
47, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
48, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
49, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
50, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
51, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
52, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
53, Moldova Bikes,534502, mdbikes@gmail.com, 20 ST street, Chisinau, MD,2000
